gene,rna_baseMean,rna_log2FC,rna_padj
Fhit,208.1635897,-0.095570414,0.674685804
Pcca,903.7218729,0.87985472,2.83E-08
Kcnma1,6074.201054,-0.934673246,2.01E-16
Zfp385d,244.7142188,0.513695798,0.006610831
Thoc7,1096.358925,-0.241626712,1.06E-01
LOC361016,258.4174508,1.589160461,5.58E-18
Slc35f4,61.29186696,1.101994427,3.20E-04
Ift88,638.1395541,-0.681665535,2.85E-06
Ebf2,2.222175835,0.546718915,0.230970496
R3hcc1,478.8588308,0.416080313,0.011410932
Xpo7,4308.064871,-0.421233534,6.80E-04
Spert,5.611152062,0.283980636,0.585292897
Enox1,432.8667153,-1.076082498,1.01E-10
Dgkh,829.5248262,-1.090829486,2.45E-15
Spry2,659.5066927,0.210074986,0.189731345
Dock9,9162.085001,-0.763684091,3.45E-11
Kat6b,1568.039253,0.373109039,0.009412804
Gng2,343.7220092,-0.033124557,0.875199179
Ube2e2,747.4945062,-0.621436988,1.29E-05
Ube2e1,962.3762103,-0.381405684,0.015389334
Thrb,557.9829149,-0.36697868,0.018650672
Lrrc3b,41.35960299,1.063032306,0.001893736
Cadps,5366.383667,-0.397339984,0.001241169
LOC100363368,83.55419956,0.025645533,0.935186873
Txndc16,1465.507661,-0.433937175,0.001359612
RGD1310110,662.0488049,1.359366636,8.82E-18
Rpgrip1,69.02721317,-1.305154561,7.09E-06
Tox4,1362.877434,-0.359057461,0.006412402
Prmt5,1044.042489,-0.311126599,0.029658726
Nedd8,1809.34306,-0.716490708,2.10E-08
Pspc1,1360.767071,-0.800905227,5.33E-10
Zmym2,6277.478096,-0.404178727,0.004755125
Cryl1,177.1071867,-0.183272991,0.399736403
Micu2,1126.842659,-0.370729399,0.009848674
Nup58,1117.920903,-0.777091942,5.38E-08
Mipep,1009.383777,-0.161249732,0.268025639
Ptk2b,14493.07604,-1.23789176,1.04E-25
Dpysl2,10810.35647,-0.241010274,0.051480731
Bnip3l,973.6191617,-0.545173214,1.64E-04
Gucy1b2,45.71891968,1.864833516,1.12E-07
Fam124a,177.6157454,-0.683595101,8.24E-04
Ints6,1270.36209,-0.582261069,4.68E-05
Xkr6,71.6811919,0.078189847,0.804250965
Prss55,191.4177151,-0.180431994,0.402495851
Msra,724.4188191,-0.541939969,2.76E-04
Fzd3,2766.112493,-0.738550382,2.24E-09
Entpd4,1878.530058,-0.684221372,2.53E-08
Ppp3cc,1724.6761,0.027810464,0.873389021
Dmtn,1580.770685,-1.187471952,1.38E-14
Gfra2,40.3047405,0.332481097,0.343821212
Nudt15,59.84687679,0.094916074,0.777624864
Lrch1,181.9747373,0.954831758,1.70E-05
Lrrc63,51.91183277,-0.465067097,0.148727873
Siah3,21.70533174,0.455878689,0.271236513
Gtf2f2,273.2577125,-0.133481711,0.520948864
Nufip1,743.8228998,-0.906143082,2.81E-10
Tsc22d1,7500.43187,-0.292668842,0.022645754
Dnajc15,882.9787958,-0.502172436,3.90E-04
Olfm4,41.42955747,1.181034137,0.001101854
Pcdh17,2262.879522,-0.702106151,1.01E-08
Tdrd3,712.6911399,0.389026616,0.024188205
Klhl1,10.66695353,-0.055165174,0.917458319
Dach1,18.18623085,0.850978223,0.051374687
Lmo7,3149.839181,-1.180037444,4.19E-20
Scel,29.49016486,-0.944440659,0.015812594
Mbnl2,2146.20021,-1.181853747,2.79E-19
Slc15a1,9.593980646,-0.480531694,0.330206364
Ubac2,1503.556015,-0.092902581,0.536623313
Nalcn,7908.029022,-1.287696277,4.19E-28
Fgf14,762.2115687,-1.401968537,1.52E-20
Zfp503,7.53546278,0.307042408,0.553977236
Comtd1,66.8914256,-0.148547149,0.661105598
Vdac2,4994.805057,-0.332132799,0.009936845
Samd8,2911.861791,-0.678656808,3.57E-08
Camk2g,99.52450944,0.030841618,0.922074682
Zswim8,24.22859975,-0.471953871,0.268796446
Chchd1,661.1433999,-0.439933706,0.00383872
Synpo2l,8.973447591,-0.638074695,0.208598456
Ppp3cb,18534.98677,-1.406170585,1.08E-26
Mss51,10.16224915,0.168224935,0.74240289
Mrps16,472.2232247,-0.29682704,0.064200392
Fam149b1,834.0216846,0.576534515,2.56E-05
Ecd,404.1986657,-0.188347669,0.278239021
Cd99l2,2.078280733,0.083618933,0.869573039
Nkiras1,1058.624869,-0.990605109,2.92E-13
Nr1d2,1462.28991,0.248940666,0.066606235
Top2b,6958.178642,-0.362040037,0.011879232
Oxsm,121.325774,-0.249526976,0.319061796
LOC498453,23.59816392,-0.525879021,0.202192032
Psmd6,3498.218814,-0.800332936,8.31E-10
LOC103690082,744.494032,-0.429533646,0.003181807
Fezf2,306.2728971,-0.619052291,7.64E-04
RGD1306063,785.6968027,-0.013010211,0.944521388
Ptgdr,6.921323358,0.652069461,0.199400794
Kctd6,350.4722273,-0.629310199,1.47E-04
Pdhb,2531.198892,-0.583661926,1.53E-05
Rpp14,344.6915903,-0.502621139,0.008839962
Abhd6,702.0479752,-0.949976659,1.69E-11
Dnase1l3,2.994908873,-0.143907046,0.783684229
Gpr137c,175.6273806,0.307061058,0.161981273
Ero1a,1204.571021,-0.614474658,8.51E-05
Psmc6,3922.424441,-0.872441401,1.02E-11
Gnpnat1,252.7991124,-0.799942057,3.03E-05
Cnih1,689.1076306,-0.200191565,0.201288583
Gmfb,1759.411429,-0.152957553,0.274561341
Fbxo34,759.5406234,-1.234028461,1.84E-17
Atg14,215.6074072,-0.464822671,0.015473815
Exoc5,3989.334024,-0.64525118,2.49E-06
Naa30,390.1820356,-0.788477287,3.84E-06
LOC689945,24.53558319,0.829350089,0.040121842
Ttc5,735.1738172,-0.391357137,0.0123649
Klhl33,6.694380905,0.783528438,0.125302656
Apex1,1482.909341,-0.384589842,0.003251235
Tmem55b,617.4241929,-0.564366411,9.53E-05
Mettl17,94.43603279,-0.395852979,0.121104471
Tppp2,5.356159428,1.057253622,0.041387612
Rab2b,609.985371,-0.343288192,0.022554419
Mettl3,804.4674333,-0.414987002,3.05E-03
Sall2,609.8010986,0.496796644,0.002786603
LOC688340,2.375347179,0.348120337,0.464209506
Dad1,740.3425462,-0.367419702,0.01463523
Oxa1l,803.6235684,0.427058719,0.003288613
Rem2,105.9150821,-1.806319403,3.43E-11
Psmb5,1524.53581,-0.521997722,2.02E-04
Psmb11,8.819608775,0.080733023,0.881522944
Cdh24,95.09203978,0.767419845,0.003056354
Homez,88.0713779,0.496029813,0.055075226
Bcl2l2,440.4734152,0.501781673,0.003793284
Pabpn1,576.1562491,-0.204199818,0.192282489
Slc22a17,4976.189783,-0.724798409,3.81E-07
Myh6,7.058568135,-0.631669016,0.214233679
Myh7,46.23593788,-1.162727355,9.04E-04
Ngdn,521.5354734,-0.475358928,0.0028926
Thtpa,611.1715793,0.352232473,2.04E-02
Jph4,1940.437872,0.81390615,4.87E-08
Carmil3,447.1885501,-0.112983126,0.555883251
Cpne6,4178.29406,-1.607259535,3.58E-28
Pck2,184.2657324,-0.486511492,0.025814021
Dcaf11,1389.198911,0.154832347,0.28494901
Emc9,137.2216835,-0.671520031,0.004599706
Ipo4,918.7814182,-0.400856253,8.35E-03
Mdp1,326.9901273,-0.50367431,0.0030629
Gmpr2,564.1845611,-0.145437099,0.375159416
Rabggta,396.4405079,-0.476898027,0.007735963
Nop9,253.9479589,-0.178359146,0.358354979
Nynrin,157.6191417,0.544346828,0.010318288
Sdr39u1,285.4122878,-0.570483241,0.001397925
Mphosph8,2211.206993,-0.786216071,8.73E-08
RGD1565170,3.193007049,0.032151103,0.953373242
Il17d,7.240214328,0.248997855,0.633389419
Eef1akmt1,314.3432177,0.04242699,0.838865242
Sap18,234.189305,-0.407809977,0.038934396
Mrpl57,167.6577307,-0.711330059,9.65E-04
Fgf9,126.2461459,-0.467576885,0.046713654
LOC108348241,3.369502301,0.231340547,0.653499851
Cdadc1,1340.771516,-0.230692136,0.119892246
Mtmr6,3713.171674,-0.630757819,3.36E-07
Amer2,258.8929721,0.470122721,0.016942563
Kpna3,2079.603926,-0.993354007,9.22E-12
Spryd7,770.9981656,-0.692031903,3.11E-06
Trim13,207.5608975,-0.129598011,5.78E-01
Kcnrg,78.01203675,0.070809766,0.818823373
Ccdc25,825.3777389,-0.641704129,8.37E-05
Trim35,1187.388642,-0.218608146,0.220196638
Stmn4,2402.720116,-0.888123707,1.89E-12
Pnma2,610.6390428,-0.52706296,4.86E-04
Ppp2r2a,2527.166862,-0.654046955,5.63E-06
Nefl,6129.023647,-1.122338343,1.65E-21
Nefm,1895.43216,-1.6545886,3.79E-32
Dleu7,37.24900362,0.573295015,0.098646016
Serpine3,2.462132058,0.446694525,0.339201122
Fdft1,1973.288315,0.004733741,9.78E-01
Neil2,9.814019168,-0.148654719,0.776713595
Tdh,5.301221042,1.036241676,0.043834839
Pinx1,113.2210294,-0.465090082,0.057408245
Extl3,1507.701143,-0.216656601,0.127866575
Fbxo16,142.628637,-0.494348808,0.02818238
Elp3,1977.241151,-0.646462381,1.41E-07
Stc1,38.67597701,-0.882231482,0.013130471
Nkx3-1,8.871476458,-1.370260182,0.009622179
Synb,19.348224,-1.349827176,0.002876342
LOC367277,10.91864554,-0.611484325,0.209615136
Chmp7,1013.060088,-0.651596509,8.08E-07
Rhobtb2,792.2696601,-0.222502632,0.127709654
Egr3,267.8535083,-1.153103005,2.03E-09
Ccar2,586.9372265,-0.60954379,5.50E-05
Piwil2,51.64757579,0.117953408,0.73547673
Polr3d,537.4692638,-0.697203639,1.37E-05
Lgi3,387.7251005,1.12895401,3.95E-10
Hr,116.8532759,1.809251264,1.47E-11
Nudt18,317.104585,-0.095853518,0.633069276
Fam160b2,380.5961012,-0.243370849,0.153295242
Med4,328.5431653,-0.744101299,2.85E-05
Sucla2,5264.699439,-0.520901988,8.93E-05
Esd,1811.368443,-0.48743693,1.56E-04
Zc3h13,1137.439891,-0.451324099,0.002167923
Tpt1,8783.017077,0.415389922,0.003372825
Serp2,799.5344444,-0.927645822,6.81E-10
Akap11,22437.52579,-0.505897503,9.15E-05
Mtrf1,968.6053436,0.289178907,0.051832457
Kbtbd7,353.7239754,-0.853877362,7.99E-07
Wbp4,706.1527911,-0.647715198,4.29E-05
LOC100360244,4.591591878,-0.163398432,0.761663291
Sugt1,2043.877908,-0.701707632,3.36E-07
Pcdh8,542.759627,0.127295417,0.451027265
LOC100361180,4.501698437,0.43632736,0.388222093
Pcdh20,3382.898554,-1.574636117,9.93E-37
Ppial4g,6.496854018,-0.128042998,0.813997013
Setsip,3.782883419,-0.507543148,0.305773571
Mzt1,152.2499168,-0.873228708,4.88E-05
Klf5,12.65912564,-0.393522703,0.408995761
RGD2320734,178.2245845,-0.216893981,0.331863402
Commd6,143.2290247,-0.51496834,0.028206035
Uchl3,754.8997002,-0.691786942,7.28E-06
Kctd12,270.5259405,1.06079772,3.69E-07
LOC108352957,614.9688359,-0.941127397,3.01E-10
Slain1,529.2975498,-0.073682694,0.674056099
Rnf219,542.4810156,-0.642954985,5.44E-05
Ndfip2,2450.989536,-1.170599805,9.24E-19
Slitrk1,2358.085107,-1.420971721,2.91E-31
Slitrk5,2735.718536,-1.741808459,3.30E-40
LOC100912132,2.453739111,0.293239953,0.55039929
Gpr180,353.3698331,-0.210984841,0.236761244
Rap2a,143.6459237,-0.479080925,0.048817649
Stk24,881.2503391,-0.583545074,2.23E-05
Parg,2180.338799,-0.494423503,2.99E-04
Nrg3,1380.440452,-0.883534507,3.07E-10
March1,461.8352489,-1.322930693,1.12E-14
Erc2,2617.253798,-0.739323514,1.23E-09
Cacna2d3,4662.694051,-0.964033629,1.09E-16
Bap1,4700.997691,0.747203725,1.18E-09
Grid1,1239.847784,-0.195413422,0.172360618
Slc25a42,136.5789133,0.944611139,4.20E-05
RGD1564941,18.39040424,-0.572178484,1.89E-01
Clcn3,7462.597371,-0.309142483,0.023120183
Galntl6,588.3766145,-0.768098221,6.07E-07
Wdr17,2693.968275,-1.699191215,1.24E-36
Cfap97,920.5838741,-0.710488247,7.39E-06
Sgcz,23.46373464,1.147951507,6.70E-03
Fgfr1,2133.059411,-0.383538038,0.00371655
Tdrp,78.6883034,0.503440415,6.53E-02
Fam155a,1366.214024,-0.392950083,0.002773806
Spin1,123.8294435,-0.805146884,4.17E-04
Pde12,373.9818792,-0.325784525,0.073858998
Arhgef3,1117.030934,-1.136100577,4.06E-18
Dcp1a,206.6192996,-0.497859477,0.010398502
Sfmbt1,933.0506405,-1.029758021,3.31E-14
Nek4,419.9570103,-0.351191165,3.85E-02
Capn7,2364.597826,-0.013206548,0.942330066
Ankrd28,2955.332055,0.069362972,0.635823331
Ogdhl,656.368023,0.160333559,0.355905518
Chat,5.767845616,1.245974395,0.017366356
Ercc6,946.3358075,-0.790622342,3.15E-09
Mapk8,1951.680033,-0.624550017,6.97E-06
Ccser2,3816.531937,0.041221038,0.792794339
Med26,60.34365717,-0.197724274,0.531996935
Eps15l1,710.5941342,-0.539726111,1.41E-04
Ssbp4,425.5796648,0.054444051,0.793656224
Klhl26,372.2358066,-0.476286694,0.013343904
Sugp1,757.3363057,-0.55529769,6.03E-04
Lzts1,600.3054594,-0.435761675,0.012325081
Lpl,1401.924581,-1.902564277,1.49E-40
Psd3,13521.95718,0.907483301,6.67E-13
Msmo1,4124.364654,0.759690643,6.13E-08
Cpe,57571.66859,0.294249819,0.023188491
Sh3rf1,2500.812558,0.002916292,0.986350755
Gpm6a,30361.52049,-0.543511538,7.08E-06
Tenm3,4804.818423,-0.916638063,1.58E-15
Snx25,2417.446802,-0.333757823,0.018003686
Pcm1,7842.125369,-0.079897096,6.27E-01
Mtmr7,1887.929733,-0.557371208,7.07E-06
Micu3,2867.745657,-1.391797103,3.64E-22
Tusc3,4768.481616,-1.278462025,7.83E-27
LOC100910088,1078.525834,-1.783424515,1.92E-31
Mfhas1,835.105003,1.032964843,1.86E-11
Gtf2e2,596.8747396,-0.889431194,9.28E-08
Whsc1l1,1708.613809,-0.368645792,0.007533317
Adam32,41.01162987,-0.554097025,0.106500719
Zmat4,162.9731561,-0.584771912,0.004868186
Tpte2,9.942743612,-0.159260381,0.759875367
Mcph1,540.373938,-0.467330031,0.002739663
Dlgap2,1245.925268,-0.355025213,0.020982142
Erich1,191.8208197,-0.468188506,0.029502714
Upf3a,541.4624811,-0.142583165,4.02E-01
Mcf2l,2696.709936,0.340850667,0.015803015
Arhgef7,2056.321019,0.131226059,3.77E-01
Abhd13,759.9434758,-1.012155238,1.03E-12
Efnb2,299.8208692,-1.296313069,1.11E-12
LOC689268,61.06609455,-0.899266312,0.005629363
Polr3a,1253.71548,-0.59024023,4.55E-06
Ppif,51.90272181,-0.303951748,0.342343236
Slmap,3319.55343,-0.542769878,3.47E-05
Asb14,4.813543415,-0.155416969,0.773666103
Appl1,3732.568907,-0.752475629,4.69E-09
Ccdc66,738.1656081,-0.648771938,8.49E-06
LOC100911661,6.69721601,1.051334778,0.043013128
Selk,537.5315551,-0.240612466,0.136540551
Actr8,1044.031658,-0.636115834,1.34E-06
Glt8d1,463.0392966,-0.726823086,4.26E-06
Gnl3,984.532111,-0.753369464,7.10E-07
Nisch,8306.904401,0.419058942,4.67E-04
Tnnc1,25.49559324,-0.231880102,0.571808024
Phf7,199.1773547,-0.038411773,8.79E-01
Sh3bp5,536.4630743,-0.972374815,7.34E-10
Dph3,216.2345257,0.043115677,8.53E-01
Oxnad1,242.9132697,0.011913758,0.958285238
Timm23,690.6903317,-0.701878633,7.52E-07
Slc18a3,6.043689302,1.346124746,9.35E-03
Opn4,2.150369228,0.102904579,0.841425935
Cdhr1,43.10135824,2.083840453,7.32E-09
LOC290595,3.691750061,0.837399894,0.086787939
Ghitm,5423.297274,-0.575581136,1.49E-06
RGD1564958,5.210017107,-0.123282308,8.21E-01
RGD1309676,1417.882248,0.556954235,2.88E-05
Mbl1,1.915193592,-0.185303543,0.689188603
Tmem38a,715.1386791,-0.853881779,5.47E-09
Smim7,476.3390489,-0.149919257,0.373196945
Slc35e1,228.7949732,-0.149802829,0.514664888
LOC103693914,5.245462306,-0.468241181,0.359941706
Cherp,223.5083347,-0.36061946,0.073972144
Calr3,56.66347778,-0.394054771,2.03E-01
Klf2,12.59543119,0.96599154,5.50E-02
Ap1m1,857.4542158,-0.941015612,4.46E-11
Fam32a,429.9159026,-0.156987823,0.373497906
Ocel1,187.1692513,-0.169245093,0.443176694
Nr2f6,109.6031594,0.852956739,5.29E-04
Babam1,572.7237004,-0.349036068,2.11E-02
Abhd8,1500.379457,1.048925273,1.07E-10
Mrpl34,53.589415,0.246660919,5.03E-01
Dda1,234.8698351,0.257358628,0.233192523
Ano8,555.4499501,-0.006366766,0.97424174
Gtpbp3,60.11014924,0.163125844,6.46E-01
Plvap,2.561549677,-0.032309389,0.952027714
Tmem221,3.601142548,0.009834289,9.87E-01
Pgls,105.9689448,0.351679797,0.250695544
Fam129c,3.404920609,0.026857753,9.62E-01
Unc13a,3796.089024,-0.676615117,2.27E-06
Fcho1,284.0293076,-0.522212156,8.90E-03
Map1s,277.0250749,-0.172252998,0.472002987
Slc5a5,3.579446077,0.964081362,0.04352591
Ccdc124,339.6359895,0.011322921,9.66E-01
Kcnn1,153.2430604,-0.421876991,0.065458775
Mast3,2376.878891,0.020856888,0.915789134
Pik3r2,1973.551389,0.066122952,6.99E-01
Mpv17l2,150.4660183,-0.245162941,0.306266017
Rab3a,5051.419723,-1.187374288,1.18E-24
Jund,140.7929159,0.196130488,0.506898344
Lsm4,247.5706089,-0.215131639,0.302125883
Fkbp8,2430.69869,-0.050479368,8.01E-01
RGD1566239,146.1406733,0.351428132,0.133772059
Crlf1,392.2584896,0.685417406,4.25E-05
Tmem59l,2634.353466,-1.28621717,3.83E-17
Crtc1,498.3808962,0.759262599,2.48E-06
Gdf1,301.8238774,-0.006483819,9.90E-01
Cers1,758.4794416,-0.182183882,0.327407797
Cope,732.9630127,-0.172510144,0.34246837
Ddx49,266.5705604,-0.197143551,0.379931749
Homer3,234.9898913,0.852016737,1.37E-05
Sugp2,1911.884036,-0.405709752,1.58E-03
LOC100361056,2.010549443,-0.057840884,0.905327623
Armc6,101.4049624,-0.236141612,0.373196945
Tmem161a,137.2763118,0.207372603,0.434187305
Nr2c2ap,272.147365,-0.441186593,0.0237843
Ncan,4257.762896,1.14278384,3.81E-18
Hapln4,213.6430769,-1.01430413,1.51E-05
Mau2,589.4532981,-0.281135326,0.107927915
LOC100911483,557.7486741,0.251187371,1.95E-01
Yjefn3,128.4542449,2.139268566,5.20E-15
Cilp2,8.49825314,0.852931945,0.09456687
Pbx4,50.0970965,-1.018048649,0.001852442
Zfp868,465.3427017,-0.338534919,4.01E-02
LOC108348257,25.75590239,0.107014885,0.803857667
Atp6v1b2,10761.39382,-1.178520192,2.47E-24
Slc18a1,15.65537088,-0.442144936,0.32587487
Ints10,1619.30403,-1.069952146,3.03E-16
Naf1,346.6312698,-0.576869945,3.89E-03
Npy1r,426.4548774,-1.044937511,3.93E-10
Npy5r,145.4831605,-1.091688811,1.03E-06
Tma16,94.74884808,-0.388588582,0.142059377
Klhl2,6191.97593,-1.038673384,8.35E-20
Cbr4,507.1155896,-0.753829133,8.42E-07
Hpf1,1735.483908,-0.360654843,0.011999548
LOC100360316,6.218913309,-0.075654072,8.91E-01
LOC100912321,2.20762596,-0.176138642,0.718952486
Cep44,231.8629393,-0.437581758,2.21E-02
Spata4,6.288725811,-0.377864647,0.461681218
Asb5,19.10461171,0.274949539,0.529003945
Spcs3,877.4303778,-0.989981164,3.87E-12
LOC103693953,3.032185586,-0.085344562,8.71E-01
Ing2,393.9678129,-1.220275439,3.02E-14
Rwdd4,359.4452813,-0.104308387,5.89E-01
Trappc11,2889.538463,-0.676736983,2.57E-08
Acsl1,1133.546772,-0.331152875,2.24E-02
Slc25a4,10934.84097,-0.482753337,2.87E-05
Lrp2bp,2.214788876,-0.28404192,0.548296215
Ankrd37,45.90663138,-0.839181672,1.01E-02
Ufsp2,1711.639513,-0.487584257,3.21E-04
Ccdc110,2.745140817,-0.461753752,0.341664272
Triml1,3.147068385,-9.07E-01,0.0523768
Cnot7,1438.593698,-0.942422983,1.52E-11
Zdhhc2,2641.672202,-0.568469022,1.07E-05
RGD1304810,333.0856458,0.662336809,1.37E-04
Lonrf1,722.8050521,-1.20231414,9.45E-18
Dusp4,130.6222398,-0.545717288,1.64E-02
Saraf,1686.055342,0.085828903,0.546291762
Leprotl1,434.7524895,-0.55505465,4.10E-04
Mboat4,8.640656542,-0.784218022,1.21E-01
Dctn6,895.3017264,-0.640059184,4.61E-06
Smim18,214.306781,-1.301275337,4.57E-11
Gsr,799.2271303,-0.762213903,5.04E-07
Ppp2cb,3769.920116,-0.323079023,0.009561178
Purg,795.6103891,0.039114262,8.36E-01
Mak16,497.731867,-0.58232852,1.56E-04
Tti2,263.0102871,-0.437335686,2.16E-02
LOC100912904,3.268002234,-0.354811467,4.69E-01
LOC681180,3.140573743,-0.19652496,0.706089444
LOC302192,34.07450976,-0.426625972,0.307636517
Brf2,137.1601165,-0.971011856,1.32E-05
Prosc,477.3292256,-0.38132075,0.015046746
Thap1,163.1144299,-0.77364417,3.16E-04
Rnf170,1054.273248,-0.174384468,0.279934459
Pomk,397.0579759,-0.398430483,1.67E-02
Star,5.057146482,0.09692363,8.60E-01
Bag4,1064.973456,-0.997763457,7.41E-14
Plpp5,114.4769708,-0.50114056,0.052689944
Letm2,129.3565441,0.209879075,0.432681777
Tacc1,1670.780623,0.414350313,0.00155092
Tm2d2,650.866416,-0.740028923,8.72E-06
Ido2,5.514156434,0.027040014,0.962604705
Gpat4,1191.051729,-0.181685785,0.20055412
Ap3m2,1292.029477,-0.587904303,7.15E-06
Plat,314.8478333,1.47457549,1.93E-17
Polb,841.2155584,-0.321300623,3.44E-02
LOC102550986,2.490754901,0.0017953,0.997057566
Vdac3,6643.527372,-0.711008356,6.06E-08
Mrps31,462.0563588,-0.459439308,0.004094349
Alg11,1678.267205,-0.630924564,4.15E-06
Myom2,83.73945519,-0.269638789,3.27E-01
Kbtbd11,201.4201278,0.301138243,0.262592271
Fbxo25,888.4140669,-1.105758929,2.54E-15
Coprs,279.2501384,-0.209452342,0.262207261
Champ1,712.2521007,-0.413685455,0.004298414
Grk1,6.535675004,-0.131931732,0.807381814
Cdc16,1221.82673,-0.484547168,3.35E-04
Adprhl1,15.33362645,0.16494872,0.736851493
Cul4a,1567.01804,-0.556426323,1.05E-05
Pcid2,477.7572979,-0.402018722,0.010654513
Tubgcp3,824.9946941,-0.550744808,5.85E-05
LOC102553495,17.18601484,0.946066006,0.038064977
Ing1,181.1411683,0.212892571,0.322146966
Cars2,280.3745903,-0.229421259,0.222588824
Naxd,241.2017457,-0.034399966,0.878606154
Arglu1,1156.738636,-0.817092959,5.93E-09
Ofcc1,2.273639854,-0.371622022,0.428635873
Gmds,360.1732469,-0.415870193,0.014337621
Celf2,2219.285753,-0.239103729,0.0615966
LOC102549404,41.36166814,0.305887035,0.377390146
Txndc15,475.263101,0.139474231,0.414025383
Faf2,717.6559337,-0.244300827,0.098133069
Snrnp48,326.9837578,-0.276567335,0.143915296
Fars2,326.8251639,-0.244734967,1.70E-01
Cdkal1,422.4792315,-0.241285199,0.164917966
Zfp322a,742.6098147,-0.904390759,1.34E-08
Zfp192,444.138425,-0.45203953,0.004987853
Hecw1,1166.884175,-0.154203165,0.284165097
Camk1d,1568.228841,-0.69224224,9.70E-08
Cacnb2,2142.778172,-1.652682635,2.99E-36
Malrd1,10.48669758,0.004718926,0.993295499
Myo3a,41.12820618,1.598457204,9.06E-06
Npepo,422.947874,0.509310121,0.001550471
Fancc,37.97325045,0.597347801,0.085149368
Dapk1,1765.237654,-1.348726647,8.82E-25
Ntrk2,9077.727106,0.683177326,2.00E-07
Gkap1,866.0634758,0.746953217,1.34E-06
Simc1,484.5903759,-0.450734605,0.003905399
Ror2,15.86824146,0.717917065,0.113567291
Auh,1080.819813,-0.626382252,1.97E-06
LOC679342,14.59702255,-0.243927465,0.603136222
Wnk2,1571.159799,0.448497663,0.002493632
Cap2,4868.217229,-1.356822009,5.39E-28
Atxn1,723.3965863,0.714056429,6.04E-06
Jarid2,814.0281899,-0.406484453,0.004025475
Phactr1,4627.167128,0.890259238,8.31E-14
Gfod1,1118.013062,0.549360791,6.43E-04
Rnf182,149.1306734,-0.349041893,0.121014677
LOC102550385,235.598352,-0.186094549,0.393727578
RGD1564786,3.048939469,0.102909416,0.846629599
Exoc2,767.7921093,-0.417723122,0.007754455
Mrs2,474.5448892,-0.976048464,7.96E-10
RGD1307443,1147.184261,-1.21061715,1.10E-17
Fam65b,3492.468136,-0.700170086,4.07E-09
Scgn,65.10723076,-2.345601297,9.64E-13
LOC102548682,215.724988,-0.499312771,0.035984824
LOC102551184,724.5085619,-0.393031714,0.027736957
Amph,329.5396237,-0.932143142,2.89E-08
Vps41,10389.05407,-0.507121296,7.40E-05
Rala,1144.917735,-0.537780156,4.05E-04
RGD1308147,658.2235258,-0.527854849,3.23E-04
Tbce,1625.533726,-0.533039126,2.95E-05
LOC103690178,42.50651381,-0.352351386,0.301986057
Ccny,3282.152221,-0.446157087,4.40E-04
Larp4b,1817.52814,-0.410729513,0.002462185
Dip2c,3178.307423,-0.737109434,9.00E-10
Chrm3,1259.825668,-1.437780317,3.23E-27
Actn2,272.7413017,-1.13834847,4.04E-10
Pfkp,5261.693546,0.731050404,1.73E-09
Akr1cl,161.7456563,2.25739921,1.19E-20
Net1,337.2771617,0.383543521,0.028577864
Ankrd16,60.87816325,0.145803626,0.647000198
Atp5c1,5958.954315,-0.462685691,9.04E-05
Cdc123,2112.906891,-0.551756512,3.30E-05
Frmd4a,739.0016587,0.530277243,7.76E-04
Suv39h2,252.3239975,-1.053727661,8.40E-08
Fam171a1,1033.480335,-0.618068983,7.97E-06
St8sia6,6.788227187,0.289946616,0.575561712
Nsun6,114.8332828,0.004521689,0.988039016
Nebl,892.77502,0.338018797,0.019499644
Etl4,735.7250741,-0.264926793,0.083053514
Gpr158,3424.323993,-0.668020693,1.75E-08
Potec,5.215032051,0.424810161,0.406351343
Pdss1,314.776763,-0.07514805,7.14E-01
Gng4,43.22996663,1.039218661,0.002269347
LOC103694018,97.97747426,-0.362745699,1.55E-01
Fbp2,2.094004145,-0.270556286,0.563224686
Hsd17b3,3.064343627,0.01234944,0.983341864
Habp4,1862.175189,-0.695811367,2.29E-08
Cdk20,89.84980607,-0.238139379,4.14E-01
LOC680346,6.528982856,-0.202374837,0.702974512
LOC102556047,28.19314441,-0.476851119,0.213771137
Isca1,532.4079482,-0.60699768,8.29E-05
LOC102547665,3.313544568,0.328617388,0.514831517
Spata31d1d,6.939647461,0.17600844,0.741665503
Naa35,1179.36639,-0.106434022,0.491848947
RGD1559908,111.7767718,-0.391926923,0.119428014
Agtpbp1,13638.46011,-0.508111177,3.59E-05
Hnrnpk,8223.350157,-0.463110599,3.16E-04
Ubqln1,3411.498171,-0.288623231,0.018439775
LOC681410,67.75034332,-0.248279749,0.527336919
LOC102549506,78.12571243,0.021615622,0.949385164
Slc25a48,7.279891906,0.378225207,0.459777915
Pcbd2,131.6988052,0.444150352,0.049582649
LOC100360522,9.297546774,0.515285355,0.307373081
RGD1566359,524.1103335,-0.567415394,6.01E-04
Camlg,360.1897621,-0.695916243,4.63E-05
B4galt7,160.7956856,-0.196563957,0.402118175
Tmed9,520.8443578,-0.570422946,4.11E-04
Fam193b,199.5550172,-0.172712048,0.463184396
Pdlim7,282.8808122,-1.182015742,6.10E-09
Dbn1,1087.144039,-0.81679299,2.54E-09
Grk6,715.0659567,0.359907218,1.67E-02
F12,109.9845537,-0.536603952,0.031928712
Pfn3,2.797803153,-0.307732519,0.535897145
Slc34a1,3.572407604,0.103789545,0.845772561
Rgs14,1494.348985,-1.119028839,3.51E-11
